25-38-03-951194-001-04 211  2   2  2    2   2  1 142   
25-38-03-951194-001-04 312 22   2  2    2   2  2   2   
95-69-66-001195-001-01 111  2   2  2    2   2  2   1 30
95-69-66-001195-001-01 211  2   2  2    2   2  2   2   
95-69-66-001195-001-01 312 12   2  2    2   2  2   2   
19-34-39-641196-001-01 111  2   2  2    2   2  2   2   
19-34-39-641196-001-01 211  2   2  2    2   2  2   2   
19-34-39-641196-001-01 311  2   2  2    2   2  2   2   
19-34-39-641196-001-01 512 22   2  2    2   2  2   2   
19-34-39-641196-001-01 611  2   2  2    2   2  2   2   
19-34-39-641196-001-01 711  2   2  2    2   2  2   2   
19-34-39-641196-001-01 82                              
19-34-39-641196-001-01 92                              
68-30-00-361196-001-04 111  2   2  2    2   2  2   2   
02-54-47-041198-001-01 111  2   2  2    2   2  1  22   
02-54-47-041198-001-01 211  2   2  2    2   2  1  11  9
02-54-47-041198-001-01 311  2   2  2    2   2  2   2   
02-54-47-041198-001-01 412 12   2  2    2   2  1  12   
02-54-47-041198-001-01 512 12   2  2    2   2  2   2   
02-54-47-041198-001-01 612 12   2  2    2   2  1  12   
58-10-14-501201-001-01 111  2   2  2    2   2  2   2   
58-10-14-501201-001-01 211  2   2  2    2   2  2   2   
58-10-14-501201-001-01 512 22   2  2    2   2  2   2   
58-10-14-501201-001-01 711  2   2  2    2   2  1  22   
58-10-14-501201-001-01 812 22   2  2    2   2  2   2   
58-10-14-501201-001-01 912 22   2  2    2   2  2   2   
12-73-25-801209-001-01 112 22   2  2    2   2  2   2   
12-73-25-801209-001-01 211  2   2  2    2   2  2   2   
12-73-25-801209-001-01 311  2   2  2    2   2  2   2   
12-73-25-801209-001-01 512 22   2  2    2   2  2   2   
12-73-25-801209-001-01 62                              
12-73-25-801209-001-01 711  2   2  2    2   2  2   2   
20-96-63-721210-001-01 111  2   2  2    2   2  2   2   
20-96-63-721210-001-01 211  2   2  2    2   2  2   2   
20-96-63-721210-001-01 312 22   2  2    2   2  2   2   
20-96-63-721210-001-01 412 22   2  2    2   2  2   2   
20-96-63-721210-001-01 512 22   2  2    2   2  2   2   
20-96-63-721210-001-01 6                               
20-96-63-721210-001-01 712 12   2  2    2   2  2   2   
29-54-32-181212-001-01 111  2   2  2    2   2  2   2   
29-54-32-181212-001-01 212 12   2  2    2   2  2   1 10
29-54-32-181212-001-01 312 12   2  2    2   2  2   2   
29-54-32-181212-001-01 412 12   2  2    2   2  2   2   
29-54-32-181212-001-01 512 12   2  2    2   2  2   2   
