19-62-24-100ac9ecae7a84456f91ca05f96d0cb08f2021-11-08T13:44:42 4 44 203  2        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-08T10:46:05111113414
19-86-35-774cbce22a484a4ac08bfe92e0d38b6b122021-11-09T10:02:2112129 121  4        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-09T07:02:44144111144
20-14-91-3477b63d1267364fb69824735c3fc555d22021-07-14T09:31:17 7 71 242  5       37**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-14T07:39:10144441144
20-70-41-876aae68762f2a445781745cdbabd8fc4e2021-06-22T10:44:1319193  62  2        6**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-06-22T12:22:32144444334
20-70-55-59221ad84269d34b79bcc9abd41d8f2fb72021-06-04T09:17:2212128 312  1        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-06-04T07:17:11144444114
20-81-51-952d3ead54fa8846ddaca9a812767244d82021-08-26T09:39:05 2 23  82  6        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-26T10:24:37444343334
20-99-51-491239f3addf194bb69a0e174eb45de43f2021-08-13T11:14:44 8 85 101  1        4**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-13T12:16:03111141111
21-01-77-433562090d2a41401086709383c4ea763c2021-01-23T09:58:5920202 221  0        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-23T07:13:02111133344
21-06-86-31ce7a8dc61bed49f788d823da1855a9b82021-08-03T10:49:49 5 53  83  3      311**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-08-03T09:36:35344443134
21-22-59-73404e1855c677452594a51e7f250179702021-03-19T11:28:42 1 15 272  2        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-03-19T13:57:50444443334
21-58-46-84e167edae1264402caad7fd6007f8ebce2020-12-31T11:58:46 1 13 101  4        2**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2020-12-31T08:58:39233333333
21-75-41-89b4688b9b5df1411fb72588d659f085502021-05-15T09:37:17 1 15 301  2        9**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-15T06:51:39111143124
21-77-87-538330886c38624292b1c08b474de626eb2021-11-20T13:07:0524241 252  5        7**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-20T10:16:01111441114
22-15-51-55b0d7925bf5034026bacd2b3def1a1aed2021-02-05T14:49:4919193  82  5        3**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-02-05T12:25:32114434344
22-31-06-4934c6e2eec2104bd6b8158b19b8f304b72021-07-17T15:23:0110103  63  1      316**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-18T11:47:54111143114
23-06-49-353280da4efd664a14afee47f8d1773ffe2021-01-23T10:49:0754542  41  1        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-23T07:37:07441114414
23-20-71-883f51b1c5c88149b497fbaf5a3b721ad3                    5    193  2        1                **CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**                            
23-25-29-437b8bfe8da50645ec800fb52c567640ea2021-07-13T12:29:4419195 231  2        8**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-07-13T10:14:43111111114
23-37-02-3819fb087b522840408d9cba2d169af80e2021-01-28T13:42:4625251  81  1       16**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-28T12:04:09111111111
23-45-19-589299d162d3fa4df4be895ccafa9788682021-05-05T09:15:51 3 36  22  2        9**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-05T06:13:01133133332
23-48-88-3156c8e7f3edcb40c9baa9df4ac4f47a322021-11-15T12:55:49 7 73 172  4       24**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-15T11:18:09111141114
23-59-46-860c8e8c0303bb4aafb7284409833adb662021-05-11T12:35:43 7 73 302  1       48**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-05-11T09:36:34144434431
23-96-87-25e333d8bdca374a92836a9590dd86c4712021-06-29T13:24:5014146  72  5        1                **CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**                            
24-61-44-030bb43ac4010e4e01be773a81aaf0087c2021-01-17T13:51:1311112 173  1        1**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-01-17T10:51:06144114343
24-89-09-94e7dfecff6ffe4286aa2195d8bcb3486d2021-09-17T10:17:44 7 72  22  6        8**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-09-17T10:06:31111441111
25-17-54-76361ad171963841bbb3645046cf22af462021-11-22T10:27:5653531 283  4      304**CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL****CONFIDENTIAL**2021-11-22T07:28:05444414414
